2022-03-08T14-40-56,53045,HEALTHDIRECT 124,03/01/2022 12:00:00 AM,03/04/2022 12:00:00 AM,20,20,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,53045,HEALTHDIRECT 124,20,POINT (-88.13543 43.031211),,2.86780260531122E38,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,53045,ASCENSION RX 1104,6,POINT (-88.153478 43.061313),,2.78564857994999E38,03/08/2022 12:00:00 AM
