2022-02-10T21-04-53,49503,Heart of the City Hlth Ctr,02/03/2022 12:00:00 AM,02/08/2022 12:00:00 AM,140,136,02/08/2022 12:00:00 AM
2022-02-10T21-04-53,49503,Meijer Store 465,12/30/2021 12:00:00 AM,,0,60,02/10/2022 12:00:00 AM
2022-02-14T09-23-55,49503,Heart of the City Hlth Ctr,02/03/2022 12:00:00 AM,02/08/2022 12:00:00 AM,140,136,02/11/2022 12:00:00 AM
2022-02-14T09-23-55,49503,Meijer Store 465,12/30/2021 12:00:00 AM,,0,60,02/11/2022 12:00:00 AM
2022-02-15T10-17-36,49503,Heart of the City Hlth Ctr,02/03/2022 12:00:00 AM,02/08/2022 12:00:00 AM,140,136,02/11/2022 12:00:00 AM
2022-02-15T10-17-36,49503,Meijer Store 465,12/30/2021 12:00:00 AM,,0,60,02/11/2022 12:00:00 AM
2022-02-16T08-11-48,49503,Meijer Store 465,12/30/2021 12:00:00 AM,,0,59,02/14/2022 12:00:00 AM
2022-02-16T08-11-48,49503,Heart of the City Hlth Ctr,02/03/2022 12:00:00 AM,02/08/2022 12:00:00 AM,140,136,02/11/2022 12:00:00 AM
2022-02-16T08-23-53,49503,Heart of the City Hlth Ctr,02/03/2022 12:00:00 AM,02/08/2022 12:00:00 AM,140,136,02/11/2022 12:00:00 AM
2022-02-16T08-23-53,49503,Meijer Store 465,12/30/2021 12:00:00 AM,,0,59,02/15/2022 12:00:00 AM
2022-03-16T18-51-35,49503,Heart of the City Hlth Ctr,136,POINT (-85.665915 42.959545),,2.49296599663486E38,03/11/2022 12:00:00 AM
2022-03-16T18-51-35,49503,Meijer Store 465,59,POINT (-85.665037 42.970517),1447635388,2.4510016461999E38,03/11/2022 12:00:00 AM
