2022-03-08T14-40-56,34202,Lakewood Ranch Pharmacy,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,40,39,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,34202,Walgreens Store #12102,20,POINT (-82.396426 27.430411),1366692972,2.42510027575531E38,03/11/2022 12:00:00 AM
2022-03-16T18-51-35,34202,Lakewood Ranch Pharmacy,39,POINT (-82.437779 27.390737),1275772915,2.47893523035185E38,03/11/2022 12:00:00 AM
