2022-03-03T09-56-49,16354,CVS Store #05097,02/25/2022 12:00:00 AM,,20,,
2022-03-03T09-56-49,16354,Walmart Pharmacy #5360,02/25/2022 12:00:00 AM,,20,,
2022-03-03T10-04-44,16354,Walmart Pharmacy #5360,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,20,20,03/02/2022 12:00:00 AM
2022-03-03T10-04-44,16354-1845,Rite Aid 04616,03/02/2022 12:00:00 AM,,20,,
2022-03-03T10-04-44,16354,CVS Store #05097,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,20,20,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,16354,Walmart Pharmacy #5360,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-08T14-40-56,16354-1845,Rite Aid 04616,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-08T14-40-56,16354,CVS Store #05097,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,16354,CVS Store #05097,20,POINT (-79.67327 41.627106),1093818841,2.45734408775328E38,03/11/2022 12:00:00 AM
2022-03-16T18-51-35,16354,Rite Aid 04616,20,POINT (-79.671207 41.627117),,2.44684608659592E38,03/11/2022 12:00:00 AM
2022-03-16T18-51-35,16354,Walmart Pharmacy #5360,20,POINT (-79.695137 41.633071),1154348308,2.44921705303123E38,03/11/2022 12:00:00 AM
