2022-03-08T14-40-56,37209,Walmart Pharmacy #659,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,40,39,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,37209,Walmart Pharmacy #659,36,POINT (-86.905123 36.129191),1184641383,2.44921705301602E38,03/11/2022 12:00:00 AM
2022-03-16T18-51-35,37209,Polaris Pharmacy Services of NSH,20,POINT (-86.877441 36.17175),,2.42448406626119E38,03/11/2022 12:00:00 AM
