2022-02-16T18-37-01,93446-3031,Rite Aid 05831,02/14/2022 12:00:00 AM,,20,,
2022-02-18T15-54-16,93446-3031,Rite Aid 05831,02/14/2022 12:00:00 AM,02/16/2022 12:00:00 AM,20,20,02/17/2022 12:00:00 AM
2022-02-18T16-04-21,93446-3031,Rite Aid 05831,02/14/2022 12:00:00 AM,02/16/2022 12:00:00 AM,20,19,02/18/2022 12:00:00 AM
2022-02-22T09-09-37,93446-3031,Rite Aid 05831,02/14/2022 12:00:00 AM,02/16/2022 12:00:00 AM,20,19,02/21/2022 12:00:00 AM
2022-02-24T09-51-18,93446-3031,Rite Aid 05831,02/14/2022 12:00:00 AM,02/16/2022 12:00:00 AM,20,19,02/22/2022 12:00:00 AM
2022-03-03T09-56-49,93446,CVS Store #09925,02/25/2022 12:00:00 AM,,20,,
2022-03-03T09-56-49,93446-3031,Rite Aid 05831,02/14/2022 12:00:00 AM,02/16/2022 12:00:00 AM,20,19,03/01/2022 12:00:00 AM
2022-03-03T10-04-44,93446-3031,Rite Aid 05831,02/14/2022 12:00:00 AM,02/16/2022 12:00:00 AM,20,19,03/02/2022 12:00:00 AM
2022-03-03T10-04-44,93446,CVS Store #09925,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,20,20,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,93446,CVS Store #09925,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-08T14-40-56,93446-3031,Rite Aid 05831,02/14/2022 12:00:00 AM,02/16/2022 12:00:00 AM,20,19,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,93446,Rite Aid 05831,19,POINT (-120.66189 35.623075),,2.44684608660174E38,03/11/2022 12:00:00 AM
2022-03-16T18-51-35,93446,CVS Store #09925,20,POINT (-120.682118 35.615106),1225071012,2.45734408760784E38,03/11/2022 12:00:00 AM
