2022-03-08T14-40-56,08857,Walgreens Store #15556,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,08857,Walgreens Store #15556,20,POINT (-74.322178 40.403769),1275775264,2.4251002756423E38,03/11/2022 12:00:00 AM
2022-03-16T18-51-35,08857,Walmart Pharmacy #4153,10,,1326461963,2.44921705303259E38,03/11/2022 12:00:00 AM
