2022-02-10T21-04-53,19711-7044,Rite Aid 11179,,,0,5,02/10/2022 12:00:00 AM
2022-02-10T21-04-53,19711,Walgreens Store #11133,,,0,5,02/10/2022 12:00:00 AM
2022-02-14T09-23-55,19711-7044,Rite Aid 11179,,,0,5,02/11/2022 12:00:00 AM
2022-02-14T09-23-55,19711,Walgreens Store #11133,,,0,5,02/11/2022 12:00:00 AM
2022-02-15T10-17-36,19711-7044,Rite Aid 11179,,,0,5,02/11/2022 12:00:00 AM
2022-02-15T10-17-36,19711,Walgreens Store #11133,,,0,5,02/11/2022 12:00:00 AM
2022-02-16T08-11-48,19711-7044,Rite Aid 11179,,,0,5,02/14/2022 12:00:00 AM
2022-02-16T08-11-48,19711,Walgreens Store #11133,,,0,5,02/14/2022 12:00:00 AM
2022-02-16T08-23-53,19711,Walgreens Store #11133,,,0,5,02/15/2022 12:00:00 AM
2022-02-16T08-23-53,19711-7044,Rite Aid 11179,,,0,5,02/15/2022 12:00:00 AM
2022-02-24T09-51-18,19711,WALGREENS MAIN NEWARK,02/21/2022 12:00:00 AM,,20,,
2022-03-03T09-56-49,19711,WALGREENS MAIN NEWARK,02/21/2022 12:00:00 AM,02/24/2022 12:00:00 AM,20,,
2022-03-03T10-04-44,19711,WALGREENS MAIN NEWARK,02/21/2022 12:00:00 AM,02/24/2022 12:00:00 AM,20,,
2022-03-08T14-40-56,19711,WALGREENS MAIN NEWARK,02/21/2022 12:00:00 AM,02/24/2022 12:00:00 AM,20,,
2022-03-16T18-51-35,19711,Walgreens Store #11133,4,POINT (-75.684152 39.707446),1124042593,2.42510027568645E38,03/11/2022 12:00:00 AM
2022-03-16T18-51-35,19711,Walgreens Store #11008,19,POINT (-75.748154 39.683425),1073539672,2.42510027567126E38,03/11/2022 12:00:00 AM
2022-03-16T18-51-35,19711,Rite Aid 11179,5,POINT (-75.763591 39.69326),,2.44684608660027E38,03/11/2022 12:00:00 AM
