2022-02-18T16-04-21,23452,Walgreens Store #06790,02/10/2022 12:00:00 AM,02/14/2022 12:00:00 AM,20,0,02/18/2022 12:00:00 AM
2022-03-03T10-04-44,23452-3418,Rite Aid 11263,03/02/2022 12:00:00 AM,,20,,
2022-03-03T10-04-44,23452-7203,Rite Aid 11264,03/02/2022 12:00:00 AM,,20,,
2022-03-03T10-04-44,23452-1904,Rite Aid 11262,03/02/2022 12:00:00 AM,,20,,
2022-03-08T14-40-56,23452-3418,Rite Aid 11263,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-08T14-40-56,23452-7203,Rite Aid 11264,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-08T14-40-56,23452,Walgreens Store #06790,02/10/2022 12:00:00 AM,02/14/2022 12:00:00 AM,20,40,03/08/2022 12:00:00 AM
2022-03-08T14-40-56,23452-1904,Rite Aid 11262,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,23452,Walgreens Store #06790,40,POINT (-76.089628 36.841714),1669489696,2.42510027568872E38,03/11/2022 12:00:00 AM
2022-03-16T18-51-35,23452,Rite Aid 11263,19,POINT (-76.097061 36.840417),,2.4468460865977E38,03/11/2022 12:00:00 AM
2022-03-16T18-51-35,23452,Rite Aid 11264,20,POINT (-76.071714 36.811054),,2.44684608659768E38,03/11/2022 12:00:00 AM
2022-03-16T18-51-35,23452,Rite Aid 11262,20,POINT (-76.120265 36.819405),,2.44684608659773E38,03/11/2022 12:00:00 AM
