2022-03-08T14-40-56,32962,Palm Bay Pharmacy,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,40,40,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,32962,Walgreens Store #03607,40,POINT (-80.377971 27.58645),1568477784,2.42510027578442E38,03/11/2022 12:00:00 AM
2022-03-16T18-51-35,32962,Palm Bay Pharmacy,40,POINT (-80.621705 28.036803),1952994204,2.72804173453352E38,03/11/2022 12:00:00 AM
