2022-02-16T18-37-01,16602,Walgreens Store #10386,02/09/2022 12:00:00 AM,02/11/2022 12:00:00 AM,40,39,02/16/2022 12:00:00 AM
2022-02-18T15-54-16,16602,Walgreens Store #10386,02/09/2022 12:00:00 AM,02/11/2022 12:00:00 AM,40,39,02/17/2022 12:00:00 AM
2022-02-18T16-04-21,16602,Walgreens Store #10386,02/09/2022 12:00:00 AM,02/11/2022 12:00:00 AM,40,38,02/18/2022 12:00:00 AM
2022-02-22T09-09-37,16602,Walgreens Store #10386,02/09/2022 12:00:00 AM,02/11/2022 12:00:00 AM,40,38,02/21/2022 12:00:00 AM
2022-02-24T09-51-18,16602,Walgreens Store #10386,02/09/2022 12:00:00 AM,02/11/2022 12:00:00 AM,40,38,02/22/2022 12:00:00 AM
2022-03-03T09-56-49,16602,CVS Store #04013,02/25/2022 12:00:00 AM,,20,,
2022-03-03T09-56-49,16602,Walgreens Store #10386,02/09/2022 12:00:00 AM,02/11/2022 12:00:00 AM,40,38,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,16602,Walgreens Store #10386,02/09/2022 12:00:00 AM,02/11/2022 12:00:00 AM,40,78,03/02/2022 12:00:00 AM
2022-03-03T10-04-44,16602,CVS Store #04013,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,20,20,03/02/2022 12:00:00 AM
2022-03-03T10-04-44,16602-4311,Rite Aid 11012,03/02/2022 12:00:00 AM,,20,,
2022-03-08T14-40-56,16602,Walgreens Store #10386,02/09/2022 12:00:00 AM,02/11/2022 12:00:00 AM,40,78,03/08/2022 12:00:00 AM
2022-03-08T14-40-56,16602,CVS Store #04013,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-08T14-40-56,16602-4311,Rite Aid 11012,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,16602,CVS Store #04013,20,POINT (-78.402025 40.48158),1679676423,2.45734408772226E38,03/11/2022 12:00:00 AM
2022-03-16T18-51-35,16602,Walgreens Store #10386,78,POINT (-78.403122 40.479258),1245477835,2.42510027568548E38,03/11/2022 12:00:00 AM
2022-03-16T18-51-35,16602,Rite Aid 11012,20,POINT (-78.401458 40.482785),,2.44684608661025E38,03/11/2022 12:00:00 AM
