2022-02-10T21-04-53,01331,Gothams - Athol,,,0,13,02/10/2022 12:00:00 AM
2022-02-14T09-23-55,01331,Gothams - Athol,,,0,13,02/11/2022 12:00:00 AM
2022-02-15T10-17-36,01331,Gothams - Athol,,,0,13,02/11/2022 12:00:00 AM
2022-02-16T08-11-48,01331,Gothams - Athol,,,0,12,02/14/2022 12:00:00 AM
2022-02-16T08-23-53,01331,Gothams - Athol,,,0,12,02/15/2022 12:00:00 AM
2022-03-03T09-56-49,01331,CVS Store #01068,02/24/2022 12:00:00 AM,,40,,
2022-03-03T10-04-44,01331,CVS Store #01068,02/24/2022 12:00:00 AM,02/28/2022 12:00:00 AM,40,40,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,01331,CVS Store #01068,02/24/2022 12:00:00 AM,02/28/2022 12:00:00 AM,40,40,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,01331,CVS Store #01068,40,POINT (-72.214896 42.588127),1952400319,2.45734408771005E38,03/11/2022 12:00:00 AM
2022-03-16T18-51-35,01331,Gothams - Athol,26,POINT (-72.208674 42.586246),,2.84379762127942E38,03/11/2022 12:00:00 AM
