2022-03-08T14-40-56,67501,The Medicine Shoppe,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,67501,The Medicine Shoppe,24,,,2.87202E+38,03/10/2022 12:00:00 AM
2022-03-16T18-51-35,67501,THE MEDICINE SHOPPE PHARMACY,24,POINT (-97.931878 38.068762),1396857249,2.46999E+38,03/08/2022 12:00:00 AM
